Saxifraga_macrostigmatoides,3
Saxifraga_maderensis,5
Saxifraga_magellanica,10
Saxifraga_marginata,6
Saxifraga_mattaflorida,3
Saxifraga_mattaviridis,1
Saxifraga_maweana,5
Saxifraga_media,6
Saxifraga_mengtzeana,2
Saxifraga_mertensiana,11
Saxifraga_micans,2
Saxifraga_microgyna,3
Saxifraga_microphylla,1
Saxifraga_moncayensis,5
Saxifraga_montanella,3
Saxifraga_montis,5
Saxifraga_moorcroftiana,3
Saxifraga_moschata,27
Saxifraga_mucronulata,3
Saxifraga_mucronulatoides,3
Saxifraga_muscoides,4
Saxifraga_mutata,5
Saxifraga_nakaoi,1
Saxifraga_nanella,3
Saxifraga_nangxianensis,1
Saxifraga_neopropagulifera,1
Saxifraga_nevadensis,6
Saxifraga_nigroglandulifera,3
Saxifraga_nigroglandulosa,3
Saxifraga_nipponica,2
Saxifraga_odontophylla,2
Saxifraga_omolojensis,24
Saxifraga_omphalodifolia,3
Saxifraga_oppositifolia,60
Saxifraga_oreophila,2
Saxifraga_osloensis,5
Saxifraga_palpebrata,1
Saxifraga_paniculata,61
Saxifraga_paradoxa,5
Saxifraga_pardanthina,3
Saxifraga_parkaensis,1
Saxifraga_parnassifolia,3
Saxifraga_parva,1
Saxifraga_pasumensis,3
Saxifraga_pedemontana,6
Saxifraga_pentadactylis,6
Saxifraga_peplidifolia,3
Saxifraga_perpusilla,3
Saxifraga_petraea,5
Saxifraga_pilifera,1
Saxifraga_poluniana,1
Saxifraga_porophylla,5
Saxifraga_portosanctana,5
Saxifraga_praetermissa,6
Saxifraga_prattii,3
Saxifraga_prenja,4
Saxifraga_presolanensis,6
Saxifraga_przewalskii,3
Saxifraga_pseudohirculus,3
Saxifraga_pseudolaevis,9
Saxifraga_pseudosancta,26
Saxifraga_pubescens,6
Saxifraga_pulchra,3
Saxifraga_pulvinaria,1
Saxifraga_punctulata,1
Saxifraga_quadrifaria,3
Saxifraga_radiata,69
Saxifraga_retusa,4
Saxifraga_reuteriana,5
Saxifraga_rhodopetala,1
Saxifraga_rigoi,5
Saxifraga_rivularis,60
Saxifraga_rosacea,32
Saxifraga_rotundifolia,26
Saxifraga_roylei,3
Saxifraga_rudolphiana,4
Saxifraga_rufescens,3
Saxifraga_saginoides,1
Saxifraga_sancta,5
Saxifraga_sanguinea,3
Saxifraga_saxorum,1
Saxifraga_scardica,6
Saxifraga_scleropoda,7
Saxifraga_sedoides,6
Saxifraga_seguieri,4
Saxifraga_sempervivum,6
Saxifraga_sendaica,2
Saxifraga_serpyllifolia,54
Saxifraga_serrula,2
Saxifraga_setigera,54
Saxifraga_sibirica,76
Saxifraga_sibthorpii,5
Saxifraga_sieversiana,2
Saxifraga_signata,3
Saxifraga_signatella,3
Saxifraga_sikkimensis,1
Saxifraga_sinomontana,3
Saxifraga_smithiana,3
Saxifraga_spathularis,5
Saxifraga_sphaeradena,2
Saxifraga_spinulosa,69
Saxifraga_spruneri,6
Saxifraga_squarrosa,6
Saxifraga_stella,16
Saxifraga_stellariifolia,3
Saxifraga_stenophylla,3
Saxifraga_stolitzkae,3
Saxifraga_stolonifera,44
Saxifraga_stribrnyi,6
Saxifraga_strigosa,2
Saxifraga_styriaca,6
Saxifraga_subaequifoliata,3
Saxifraga_subamplexicaulis,2
Saxifraga_subsessiflora,1
Saxifraga_substrigosa,3
Saxifraga_subverticillata,7
Saxifraga_svalbardensis,13
Saxifraga_tangutica,3
Saxifraga_taraktophylla,2
Saxifraga_taygetea,6
Saxifraga_taylorii,11
Saxifraga_tenella,15
Saxifraga_tentaculata,3
Saxifraga_terektensis,3
Saxifraga_thianthia,1
Saxifraga_tibetica,1
Saxifraga_tombeanensis,5
Saxifraga_triaristulata,1
Saxifraga_tricrenata,2
Saxifraga_tricuspidata,39
Saxifraga_tridactylites,5
Saxifraga_trifurcata,5
Saxifraga_tsangchanensis,2
Saxifraga_turfosa,1
Saxifraga_umbellulata,3
Saxifraga_umbrosa,5
Saxifraga_unguipetala,1
Saxifraga_valdensis,6
Saxifraga_vandellii,5
Saxifraga_vayredana,5
Saxifraga_vespertina,11
Saxifraga_vilmoriana,3
Saxifraga_viscidula,1
Saxifraga_wahlenbergii,6
Saxifraga_wallichiana,3
Saxifraga_wardii,3
Saxifraga_wendelboi,3
Saxifraga_williamsii,1
Saxifraga_willkommiana,5
Saxifragella_bicuspidata,10
Saxifragodes_albowiana,10
